KTS   S       FD     KD     FT
4        6        0        0        0        
4        5        0        1        1        
4        7        0        0        0        
4        4        0        1        1        
5        8        1        0        1        
6        10       0        0        0        
6        12       0        0        0        
6        11       0        0        0        
6        9        0        0        0        
7        13       0        0        0        
8        14       0        0        0        
9        15       0        0        0        
11       17       0        1        1        
11       18       0        1        1        
